用例名称,优先级,前置条件,步骤描述,预期结果
迭代概览-燃尽图-燃尽图配置：配置过程中指定工作项类型全部失效,P3,"1、存在敏捷项目A，项目下有迭代1，默认配置指定工作项类型「需求」
2、团队内成员B仅拥有A项目的项目管理权限
3、成员B进入迭代1的燃尽图配置
4、复制另一个页面，且删除「需求」工作项类型
5、回到3步骤页面，添加「任务」工作项，激活更新按钮
6、回到4步骤页面，删除「任务」工作项
7、回到5步骤页面","#检查指定工作项选项栏
#点击更新","#1、「需求」选项变为「该选项已失效」
2、添加「任务」选项
#1、toast提示：更新失败
2、界面刷新，定位到第一个组件的第一个tab"
迭代概览-燃尽图-燃尽图配置：检查燃尽图配置界面,P1,"1、存在敏捷项目A，项目下有迭代1，
2、团队内成员B仅拥有A项目的项目管理权限
3、成员B进入迭代1的燃尽图配置","#检查是否有错别字
#检查各元素位置，类型
#检查工作项类型选项列表排序","#无错别字
#元素类型，位置正确
#与迭代中的工作项类型排序一致"
"迭代概览-燃尽图-燃尽图配置：配置过程中,迭代组件丢失",P3,"1、存在敏捷项目A，项目下有迭代1，
2、团队内成员A、B仅拥有A项目的项目管理权限
3、成员B进入迭代1的燃尽图配置
4、成员A删除了迭代1组件
5、回到3步骤页面，",#成员B选择全部工作项，点击更新,"#1、「更新」配置失败,toast提示：组件不存在"
迭代概览-燃尽图：检查超级管理员燃尽图配置权限点,P1,"1、存在敏捷项目A，项目下有迭代1，默认配置指定工作项类型「需求」
2、团队内成员B仅拥有超级管理员权限
3、我的工作台-仪表盘添加迭代1的迭代概览燃尽图","#B进入迭代1的迭代概览，查看燃尽图
#点击燃尽图配置按钮
#B进入迭代1的敏捷看板，点击燃尽图
#点击燃尽图配置按钮
#B进入我的工作台-仪表盘-迭代概览卡片，查看燃尽图
#检查燃尽图配置按钮","#燃尽图展示「燃尽图配置」入口
#界面跳转至迭代组件-燃尽图配置
#燃尽图展示「燃尽图配置」入口
#界面跳转至迭代组件-燃尽图配置
#卡片不展示「燃尽图配置」入口
#初始化正常颜色，悬停变蓝，点击按钮蓝色加深"
迭代概览-燃尽图：检查项目管理员燃尽图配置权限点,P1,"1、存在敏捷项目A，项目下有迭代1，默认配置指定工作项类型「需求」
2、团队内成员B仅拥有A项目的项目管理权限
3、我的工作台-仪表盘添加迭代1的迭代概览燃尽图","#B进入迭代1的迭代概览，查看燃尽图
#点击燃尽图配置按钮
#B进入迭代1的敏捷看板，点击燃尽图
#点击燃尽图配置按钮
#B进入我的工作台-仪表盘-迭代概览卡片，查看燃尽图
#检查「燃尽图配置」按钮","#燃尽图展示「燃尽图配置」入口
#界面跳转至迭代组件-燃尽图配置
#燃尽图展示「燃尽图配置」入口
#界面跳转至迭代组件-燃尽图配置
#卡片无「燃尽图配置」入口
#初始化正常显示，悬停变蓝，点击按钮，蓝色加深"
迭代概览-燃尽图：检查其他无权限角色 燃尽图配置权限点,P1,"1、存在敏捷项目A，项目下有迭代1，默认配置指定工作项类型「需求」
2、团队内成员B仅拥有A项目的项目查看权限
3、我的工作台-仪表盘添加迭代1的迭代概览燃尽图","#成员B进入迭代1的迭代概览，查看燃尽图
#成员B进入迭代1的敏捷看板，点击燃尽图
#成员B进入我的工作台-仪表盘-迭代概览卡片，查看燃尽图","#燃尽图不展示「燃尽图配置」入口
#燃尽图不展示「燃尽图配置」入口
#燃尽图不展示「燃尽图配置」入口"
迭代概览-燃尽图：点击燃尽图配置按钮时，管理员权限丢失,P3,"1、存在敏捷项目A，项目下有迭代1，默认配置指定工作项类型「需求」
2、团队内成员B仅拥有A项目的项目管理权限
3、成员B进入迭代概览页面，悬停「燃尽图配置」按钮，按钮变亮
4、删除成员B的管理员权限，返回3页面",#点击「燃尽图配置」按钮,"#1、页面无法跳转至迭代组件的燃尽图配置
2、刷新燃尽图无「燃尽图配置」入口"
我的工作台-仪表盘-迭代概览卡片：调整迭代组件的顺序后，查看卡片内容,P1,"1、示例项目中已添加2个迭代组件，名称「A」、「B」
2、「A」燃尽图配置信息和「B」不一致
3、当前组件顺序为：「A」、「B」
4、我的工作台-仪表盘中已添加「迭代概览」卡片","#进入我的工作台-仪表盘，查看迭代概览卡片
#1、将示例项目中迭代组件的顺序调整为：「B」、「A」
2、进入我的工作台-仪表盘，查看迭代概览卡片","#卡片数据和示例项目-「A」-迭代概览-燃尽图信息一致
#卡片数据和示例项目-「B」-迭代概览-燃尽图信息一致"
迭代-燃尽图配置：更新燃尽图配置（存在已失效的选项）,P2,"1、成员A有项目A查看权限，有管理项目权限
2、成员A已进入：项目A-项目设置-项目组件-迭代组件-燃尽图配置
3、工作项类型已配置：需求、任务；工作项类型已配置：空
4、项目设置-工作项类型，「需求」已从项目中移除","#1、子工作项类型选择：子任务
2、点击更新","#toast：更新成功，已过滤失效的选项值：
需求"
迭代-敏捷看板-燃尽图-工作项燃尽：检查工作项类型图例展示情况（工作项类型被重命名）,P2,"1、成员A有项目A查看权限，有管理项目权限
2、项目A-项目设置-项目组件-迭代组件-燃尽图配置，工作项类型已配置：自定义标准工作项
3、工作项类型「自定义标准工作项」被重命名为「自定义标准工作项AAA」
4、成员A已进入：项目A-迭代组件-示例迭代-敏捷看板，并打开燃尽图弹窗",#查看工作项类型图例展示情况,#自定义标准工作项AAA的数量
迭代-敏捷看板-燃尽图-工作项燃尽：检查工作项类型图例展示情况（工作项类型被部分移除）,P2,"1、成员A有项目A查看权限，有管理项目权限
2、项目A-项目设置-项目组件-迭代组件-燃尽图配置，工作项类型已配置：需求、任务
3、工作项类型「需求」被删除
4、成员A已进入：项目A-迭代组件-示例迭代-敏捷看板，并打开燃尽图弹窗",#查看工作项类型图例展示情况,#任务的数量
迭代-敏捷看板-燃尽图-工作项燃尽：刷新燃尽图,P1,"1、成员A有项目A查看权限
2、项目A已添加迭代组件，组件开启了敏捷看板功能，成员A有组件的查看权限
3、项目A中有迭代，名称为：示例迭代，迭代内工作项数量不为空
4、成员A已进入：项目A-迭代组件-示例迭代-敏捷看板，并打开燃尽图弹窗
5、燃尽图配置-工作项类型发生变化","#1、点击刷新
2、查看工作项燃尽","#1、图例变更正确
2、燃尽图数据变更正确"
迭代-敏捷看板-燃尽图-工作项燃尽：查看燃尽图,P0,"1、成员A有项目A查看权限，项目A已添加工作项类型：需求、任务、子需求、子任务
2、项目A已添加迭代组件，组件开启了敏捷看板功能，燃尽图配置-工作项类型配置为：空，成员A有组件的查看权限
3、项目A中有进行中的迭代，名称为：示例迭代
当前日期：2021-09-12
「未开始」实际开始日期：2021-09-10
「已完成」计划完成日期：2021-09-16
2021-09-10未完成的工作项数量为：5
2021-09-11未完成的工作项数量为：9
2021-09-12未完成的工作项数量为：7
4、成员A已进入：项目A-迭代组件-示例迭代-敏捷看板，并打开燃尽图弹窗，选中工作项燃尽","#查看燃尽图基线
#查看燃尽图工作项数量曲线图
#hover至折线图起点
#取消勾选「工作项数量」
#取消勾选基线","#（2021-09-10，5）到（2021-09-16，0）连接的一条虚线
#1、（x，y）对应（日期，迭代内未完成的工作项数量）
2、（2021-09-10，5）、（2021-09-11，9）（2021-09-12，7）连成的曲线
#出现tooltips“
日期：XX
工作项数量：XX
基线：XX”
#「工作项数量」曲线图消失
#基线消失"
迭代-敏捷看板-燃尽图-剩余工时燃尽：刷新燃尽图,P1,"1、成员A有项目A查看权限
2、项目A已添加迭代组件，组件开启了敏捷看板功能，成员A有组件的查看权限
3、项目A中有迭代，名称为：示例迭代，迭代内工作项预估/剩余工时信息不为空
4、成员A已进入：项目A-迭代组件-示例迭代-敏捷看板，并打开燃尽图弹窗，选中剩余工时燃尽
5、燃尽图配置-工作项类型发生变化","#1、点击刷新
2、查看燃尽图","#1、图例变更正确
2、燃尽图数据变更正确"
迭代概览-燃尽图-工作项燃尽：检查工作项类型图例展示情况（工作项类型被重命名）,P2,"1、成员A有项目A查看权限，有管理项目权限
2、成员A已进入：项目A-项目设置-项目组件-迭代组件-燃尽图配置
3、工作项类型已配置：自定义标准工作项
4、工作项类型「自定义标准工作项」被重命名为「自定义标准工作项AAA」
5、进入迭代-迭代概览",#查看工作项类型图例展示情况,#自定义标准工作项AAA的数量
迭代概览-燃尽图-工作项燃尽：检查工作项类型图例展示情况（工作项类型被部分移除）,P2,"1、成员A有项目A查看权限，有管理项目权限
2、成员A已进入：项目A-项目设置-项目组件-迭代组件-燃尽图配置
3、工作项类型已配置：需求、任务
4、工作项类型「需求」被删除
5、进入迭代-迭代概览",#查看工作项类型图例展示情况,#任务、全部子工作项类型的数量
迭代概览-燃尽图-工作项燃尽：刷新燃尽图,P1,"1、成员A有项目A查看权限
2、项目A已添加迭代组件，组件开启了迭代概览功能，成员A有组件的查看权限
3、项目A中有迭代，名称为：示例迭代，迭代内工作项数量不为空
4、成员A已进入：项目A-迭代组件-示例迭代-迭代概览页面
5、燃尽图配置-工作项类型发生变化","#1、点击刷新
2、查看燃尽图","#1、图例变更正确
2、燃尽图数据变更正确"
迭代概览-燃尽图-工作项燃尽：查看燃尽图,P0,"1、成员A有项目A查看权限，项目A已添加工作项类型：需求、任务、子需求、子任务
2、项目A已添加迭代组件，组件开启了迭代概览功能，燃尽图配置-工作项类型配置为：空，成员A有组件的查看权限
3、项目A中有进行中的迭代，名称为：示例迭代
当前日期：2021-09-12
「未开始」实际开始日期：2021-09-10
「已完成」计划完成日期：2021-09-16
2021-09-10未完成的工作项数量为：5
2021-09-11未完成的工作项数量为：9
2021-09-12未完成的工作项数量为：7
4、成员A已进入：项目A-迭代组件-示例迭代-迭代概览页面，选中工作项燃尽","#查看燃尽图基线
#查看燃尽图工作项数量曲线图
#hover至折线图起点
#取消勾选「工作项数量」
#取消勾选基线","#（2021-09-10，5）到（2021-09-16，0）连接的一条虚线
#1、（x，y）对应（日期，迭代内未完成的工作项数量）
2、（2021-09-10，5）、（2021-09-11，9）（2021-09-12，7）连成的曲线
#出现tooltips“
日期：XX
工作项数量：XX
基线：XX”
#「工作项数量」曲线图消失
#基线消失"
迭代概览-燃尽图-剩余工时燃尽：刷新燃尽图,P1,"1、成员A有项目A查看权限
2、项目A已添加迭代组件，组件开启了迭代概览功能，成员A有组件的查看权限
3、项目A中有迭代，名称为：示例迭代，迭代内工作项预估/剩余工时信息不为空
4、成员A已进入：项目A-迭代组件-示例迭代-迭代概览页面，选中剩余工时燃尽
5、燃尽图配置-工作项类型发生变化","#1、点击刷新
2、查看燃尽图",#燃尽图数据变更正确
